,importance
atr_14,0.07750803423305165
price_vs_ema200,0.07613438849705281
volatility_20,0.06524710312772644
adx_14,0.06418422739145911
macd_signal,0.058775410617090317
volume_ratio,0.058610717430702675
hl_ratio,0.0562436940436307
hour_sin,0.054291935970169375
volatility_10,0.05385929859103288
directional_efficiency,0.05227685450294718
bb_pct,0.05127805840267597
cci_20,0.05078390820805383
candle_body_pct,0.04597817157727239
adx_slope,0.045673808862835355
volatility_regime,0.044430135222150675
macd_hist,0.04432023260359741
bb_width,0.04427573446582519
stoch_d,0.044090119586540466
return_1,0.043255769239062304
momentum_diff,0.04109341938905417
hour_cos,0.03947929150552801
return_20,0.03723562760154766
macd,0.036034367790629546
rsi_14,0.03396450522396243
swing_dist_high,0.03285782612026146
return_10,0.03258081964504864
swing_dist_low,0.03174770269904972
price_vs_ema50,0.030142779958937063
stoch_k,0.02756876359753535
return_5,0.024834994644104044
ema_cross,0.022345220463100463
williams_r,0.021336288230580088
dow_sin,0.020207221641562263
return_3,0.019085986608137945
dow_cos,0.0172927847346452
is_london,0.006023757478695846
is_ny,0.004428453031813409
trend_alignment,0.0029924671250898234
is_overlap,0.0025268939885255883
