,importance
price_vs_ema200,0.0732318201575063
volatility_20,0.0675282828173495
hour_sin,0.05909734291030471
volatility_10,0.05559013008630375
macd_signal,0.04992520194872042
bb_width,0.049556861683192954
hour_cos,0.04844177363853533
adx_14,0.045578437041692885
volume_ratio,0.045108666428563864
macd_hist,0.044495041202385406
dow_cos,0.04448105971224377
volatility_regime,0.04280928757857073
dow_sin,0.042684176590951514
swing_dist_low,0.04247435581483372
adx_slope,0.04153577696325324
swing_dist_high,0.038680178810759684
price_vs_ema50,0.03791040545865753
macd,0.03739238380653253
return_10,0.036781997938164196
return_20,0.03636511592158483
momentum_diff,0.03560162650188729
return_5,0.03368280886236838
ema_cross,0.03351414063807138
stoch_d,0.03319972279387145
return_3,0.03258386615592931
cci_20,0.031193613149515964
rsi_14,0.030763170104511905
directional_efficiency,0.03038110501814971
candle_body_pct,0.029472212506879848
stoch_k,0.02895036686017203
bb_pct,0.02806616009336141
hl_ratio,0.027860394227132556
return_1,0.02708938570247729
williams_r,0.02375503877805292
is_ny,0.022888609757094527
is_london,0.02237462778087033
is_overlap,0.014311344150574721
