,importance
price_vs_ema200,0.06434625905192376
atr_14,0.06434179728264079
volatility_regime,0.062359722897023774
volatility_20,0.06113307450269977
adx_14,0.059354886261116666
volume_ratio,0.059303564313463536
directional_efficiency,0.05648951616647114
atr_pct,0.055152372923042425
macd_signal,0.05204777146207495
macd,0.049896477462438166
hour_cos,0.046968198216272544
volatility_10,0.04653006255352908
stoch_d,0.04641936349769977
adx_slope,0.045809941730367176
macd_hist,0.04540651945739031
momentum_diff,0.045396978685245226
dow_sin,0.0430122616871027
stoch_k,0.041919852489089804
price_vs_ema50,0.040056976457043224
return_1,0.03773282107370678
rsi_14,0.03750291458340705
hl_ratio,0.03708359522313011
return_3,0.03639815041169093
cci_20,0.03592040468249968
dow_cos,0.034484411366905096
bb_pct,0.03350591767838377
bb_width,0.032999212133073774
hour_sin,0.032567029064723516
rsi_divergence,0.03227163530901692
price_vs_ema20,0.03222532433460226
return_5,0.02772016957627526
return_20,0.02575238502936412
return_10,0.024951536691354786
ema_cross,0.023357419455420487
swing_dist_low,0.017064047813011005
swing_dist_high,0.01426003215959246
williams_r,0.008269001666932235
is_london,0.00471728134701173
trend_alignment,0.004493572902398818
is_ny,0.0037292544474047673
