,importance
price_vs_ema200,0.0884668290170235
volatility_20,0.07276036860257123
dow_sin,0.06861989251143324
bb_width,0.06242626223590311
hour_sin,0.059498912169025794
atr_14,0.056489209816448206
atr_pct,0.05644164995708954
volatility_10,0.05047813321801524
macd_signal,0.04915599656793457
dow_cos,0.04786045774305774
adx_14,0.04179973900028323
hour_cos,0.03919828139393162
macd,0.03883044861091179
volume_ratio,0.03807939040872608
macd_hist,0.03787446058847045
volatility_regime,0.03707566216263614
ema_cross,0.03587485626703612
swing_dist_high,0.03498607193450766
swing_dist_low,0.0326945971096603
price_vs_ema50,0.03222466632289338
metal_session,0.03142824427945834
adx_slope,0.030088772170164438
stoch_d,0.029323205071409276
return_20,0.02895590803265023
directional_efficiency,0.028286736921248726
is_ny,0.027756912817394706
momentum_diff,0.02737284086835679
is_london,0.026303761592528094
bb_pct,0.025770014257753066
trend_alignment,0.025036733691066987
return_10,0.024953732538271062
stoch_k,0.024833664877759884
cci_20,0.024003816479877243
return_5,0.023609058745777383
price_vs_ema20,0.021980647151337206
hl_ratio,0.02162719052989791
rsi_14,0.02103832672608578
return_3,0.02092168821259941
is_overlap,0.019528875204179237
candle_body_pct,0.01930054719148377
williams_r,0.016680914276611527
return_1,0.016452036253570505
rsi_divergence,0.015848280821374773
