,importance
volume_ratio,0.07569312321805449
price_vs_ema200,0.0695226843234849
volatility_20,0.06928306695326104
volatility_regime,0.06725271538574612
adx_slope,0.06502441487356114
price_vs_ema50,0.06436350937336639
stoch_d,0.06340165547409493
directional_efficiency,0.061113701970736636
return_3,0.060556311703195045
volatility_10,0.05854554513335807
macd_hist,0.057261885481549896
adx_14,0.055347654523426916
macd_signal,0.054941685546928735
rsi_14,0.04959526109109772
atr_14,0.046448061189043474
hl_ratio,0.04639359189759566
bb_width,0.04564426958184487
bb_pct,0.044975797432331335
momentum_diff,0.04340495814579334
candle_body_pct,0.04166440279964426
return_5,0.0403767768377301
return_10,0.034143776865111004
return_20,0.03398428373773625
dow_sin,0.03333333333333333
hour_sin,0.0332277019949384
williams_r,0.03226153602901565
dow_cos,0.0322162915047243
return_1,0.032095186061328634
macd,0.025419731774818766
ema_cross,0.018818062019279623
stoch_k,0.01762642935615457
swing_dist_high,0.015893522008802133
swing_dist_low,0.013491965227318234
trend_alignment,0.009469818773251641
is_ny,0.004179768587850704
is_london,0.0028000522090525946
is_overlap,0.0025916426769423038
