,importance
volatility_20,0.07776107360818711
price_vs_ema200,0.07223521499937374
dow_sin,0.05727563559102687
volatility_10,0.05439971814740651
bb_width,0.052142872390681126
macd_signal,0.05089525715258221
adx_14,0.04915165412863388
hour_sin,0.047872983057099736
atr_14,0.04729478427391085
volatility_regime,0.045953919935397713
volume_ratio,0.04404893541653309
swing_dist_high,0.04365417640661613
directional_efficiency,0.043318227495760066
price_vs_ema50,0.04201743506146907
hour_cos,0.041372791893014405
adx_slope,0.04114188514205578
dow_cos,0.04084761747866426
macd_hist,0.03962119938455127
macd,0.03874201388514806
return_20,0.03868679241858013
ema_cross,0.03844194957393731
return_10,0.03777676330368213
stoch_d,0.03675357955679289
momentum_diff,0.03519352026742261
swing_dist_low,0.03268577343115822
williams_r,0.03223387306540956
rsi_14,0.030816087227188607
cci_20,0.030167503490168304
return_5,0.030156006135698906
return_3,0.030070190243937475
bb_pct,0.027554322495649847
return_1,0.02707051472385877
hl_ratio,0.02601998583296853
candle_body_pct,0.025399797803991164
stoch_k,0.02395494254039562
is_london,0.02032225461138407
is_ny,0.019693489358775136
is_overlap,0.018676208624076415
trend_alignment,0.015323922470735444
