,importance
volatility_regime,0.08429836093714006
h1_adx,0.08291711456617823
candle_body_pct,0.08194622279129321
price_vs_ema200,0.07746478873239436
return_1,0.07019638110510404
atr_14,0.0678635132794448
adx_slope,0.06599880964874899
adx_14,0.06447678609606446
volume_ratio,0.0638502340182587
directional_efficiency,0.05502809467251052
volatility_20,0.05416396789892195
macd_signal,0.048171602846004705
momentum_diff,0.04533744820992751
macd_hist,0.044732152553966675
bb_pct,0.042852483494842705
volatility_10,0.0426795860742564
return_20,0.040275740649702935
return_3,0.04005040580769528
return_10,0.03796801846066654
hour_sin,0.03668153459396684
cci_20,0.035726911702882586
stoch_k,0.035522788203753354
stoch_d,0.034895347240481746
hour_cos,0.03402834938101933
bb_width,0.03034295275762783
swing_dist_low,0.027883828117097567
price_vs_ema50,0.025519682390195208
return_5,0.02507076078478638
macd,0.025028073416945625
hl_ratio,0.02496798975672215
rsi_14,0.02464276677935148
ema_cross,0.02108937267044869
dow_sin,0.01644313298458432
dow_cos,0.016425108002519416
swing_dist_high,0.016022225094887918
is_london,0.006332379302553287
is_ny,0.004998700907790948
is_overlap,0.004874704296531781
trend_alignment,0.004284448515610308
h1_trend_direction,0.00022893772893772896
