,importance
price_vs_ema200,0.07578049370900787
volatility_20,0.06712366533115939
macd_signal,0.062349937296707986
volatility_10,0.056304605134959884
bb_width,0.05467493827845897
atr_14,0.054521513526343955
hour_sin,0.05361714892243067
volatility_regime,0.0488091423846289
h1_adx,0.04798777712268214
hour_cos,0.046854752261925224
adx_14,0.04523477694268282
macd_hist,0.044248893956570494
macd,0.04371484757432359
volume_ratio,0.043188735928814836
price_vs_ema50,0.04257846857478983
dow_sin,0.042565192291480966
directional_efficiency,0.04192397976196322
adx_slope,0.040036434903061593
ema_cross,0.03971353388471682
return_20,0.03882085497149786
dow_cos,0.037633758765068324
momentum_diff,0.03681048761176976
swing_dist_high,0.03556924238548935
swing_dist_low,0.03485543623774479
cci_20,0.03178892298522849
return_5,0.031698728766942234
hl_ratio,0.030122906253309177
return_10,0.02950594505416381
candle_body_pct,0.02931298733434029
return_3,0.02918465201418126
stoch_k,0.02871411440770307
return_1,0.027712799745274116
stoch_d,0.026622659407796557
rsi_14,0.02644470671408049
williams_r,0.02195238957138895
is_ny,0.0218138534592874
is_london,0.0207846885239437
h1_trend_direction,0.019182309677901844
trend_alignment,0.014540068484394241
