,importance
h1_adx,0.07593572992118247
atr_14,0.07025577187446841
volatility_regime,0.07010733036257533
price_vs_ema200,0.06994500366967231
volatility_20,0.06702628949508127
adx_14,0.0637079932494449
adx_slope,0.0623936291145409
volatility_10,0.05942623755202828
directional_efficiency,0.05714016211627041
macd_signal,0.05394011297668249
volume_ratio,0.05257459138675792
rsi_divergence,0.052135983102963135
atr_pct,0.05058602858139105
cci_20,0.04716080335106224
stoch_d,0.046919846762165866
momentum_diff,0.04546557761870287
macd_hist,0.04521364168511112
hl_ratio,0.044868384169467784
bb_width,0.04446454516412198
candle_body_pct,0.04165684855941242
price_vs_ema50,0.04137207501164304
return_20,0.040741191918094576
bb_pct,0.04029245463022792
hour_cos,0.039344180575956615
return_1,0.038559534642970544
return_5,0.037964041643269754
return_3,0.037920617834569514
rsi_14,0.036081445097164835
hour_sin,0.0353126701605116
macd,0.034485219488849805
return_10,0.03313042192680027
stoch_k,0.031319337761150395
dow_sin,0.029366629879558563
price_vs_ema20,0.027329038941565766
swing_dist_low,0.02584815248162547
ema_cross,0.02450130997371254
dow_cos,0.021222304831908626
swing_dist_high,0.018565760505645835
williams_r,0.013705880971647946
metal_session,0.010846806403739273
trend_alignment,0.009232819343859106
is_london,0.006945164267941576
h1_trend_direction,0.0025896904093716346
is_overlap,0.002100740091254922
is_ny,0.0016573801095916588
