,importance
price_vs_ema200,0.07936163844796384
volatility_20,0.06817778390451681
atr_14,0.05441968485868486
bb_width,0.05387801563000444
volatility_10,0.05266139691895308
hour_sin,0.051766702329378744
hour_cos,0.05143057284897327
dow_sin,0.05086578517115876
macd_signal,0.05079978953112379
h1_adx,0.04895769950317543
adx_14,0.04859623597968631
atr_pct,0.044968404801134385
dow_cos,0.04445499178790068
macd_hist,0.04416697107400358
volatility_regime,0.04120646634338156
volume_ratio,0.04016496410987447
price_vs_ema50,0.04005705094947377
macd,0.03968533499402374
adx_slope,0.03827780910391077
ema_cross,0.03801316233225316
directional_efficiency,0.03776970650127222
return_20,0.037399400317860106
swing_dist_low,0.036559608311502
swing_dist_high,0.03555926788720869
stoch_d,0.03322924493228218
momentum_diff,0.03314532187548834
return_10,0.032361007369794845
metal_session,0.031414018282786296
return_5,0.029092908936003286
cci_20,0.028922608311237614
rsi_14,0.02889103071077572
bb_pct,0.027710349891313577
return_3,0.027358235389187625
hl_ratio,0.027104266258158937
rsi_divergence,0.02666915460513393
candle_body_pct,0.02503126190738847
is_ny,0.024499248059058582
williams_r,0.024250099044902877
stoch_k,0.023957098995452637
is_london,0.023490642566657734
return_1,0.02342544996133782
price_vs_ema20,0.022685344834662346
trend_alignment,0.02048147486554167
is_overlap,0.019458058127081644
h1_trend_direction,0.01708543409643906
