,importance
atr_14,0.08104556304301551
volatility_20,0.07537050478642753
volatility_regime,0.06779417815565857
return_20,0.0619578012241738
adx_slope,0.05579888678635181
volatility_10,0.055228127979346106
directional_efficiency,0.05466666666666667
volume_ratio,0.05132935716172227
bb_pct,0.049615399568150795
adx_14,0.048388921552019855
price_vs_ema200,0.048369103550706866
stoch_d,0.04800223975734729
hl_ratio,0.046805296438261756
ema_cross,0.04622650033088791
bb_width,0.04237290153637099
macd_hist,0.04176596591123341
swing_dist_low,0.04169424222369292
return_5,0.039299153581369435
rsi_14,0.038192999296186025
stoch_k,0.03434513337402512
price_vs_ema50,0.03422375204339218
return_3,0.03410130475244277
hour_cos,0.0337773968717459
macd_signal,0.03366896339790161
candle_body_pct,0.03313545764060903
momentum_diff,0.03309066843150232
return_10,0.03167988279235257
return_1,0.028723457434161777
hour_sin,0.027350334476126878
dow_cos,0.02639172463078247
macd,0.023638580117955343
cci_20,0.02266666666666667
trend_alignment,0.019020857387744793
williams_r,0.01257445400397088
swing_dist_high,0.008547016834708659
is_overlap,0.0031225754098059173
is_london,0.001859878729682014
