,importance
price_vs_ema200,0.07815240149012546
volatility_20,0.06418091489015904
atr_14,0.05679615778590344
hour_sin,0.055237141253037726
volatility_10,0.05356429901133127
bb_width,0.05275264239852573
macd_signal,0.052466606015410436
hour_cos,0.05105462375072101
volatility_regime,0.04601120639067683
dow_sin,0.04580789138822468
macd_hist,0.04488423945052979
volume_ratio,0.04484842927231471
macd,0.04303231960351759
adx_14,0.042094090225938505
ema_cross,0.0412672793543497
price_vs_ema50,0.03843140321718868
return_20,0.03787618140624087
stoch_d,0.03600778831680883
dow_cos,0.03471501908645621
rsi_14,0.034260391823432705
directional_efficiency,0.034151814277419604
swing_dist_low,0.03400789749196254
swing_dist_high,0.032970826351341236
momentum_diff,0.032354300677754265
return_10,0.031217068291889433
hl_ratio,0.029444271627689138
cci_20,0.029163019383332458
bb_pct,0.029118915044995808
return_5,0.02848746013193791
return_3,0.02847621339070827
stoch_k,0.02760663965638931
candle_body_pct,0.0257708153867709
is_ny,0.024827428958704063
williams_r,0.02416368510489078
return_1,0.023118485594708558
is_london,0.022773966830310383
trend_alignment,0.02213549505415579
is_overlap,0.02013303509847595
