,importance
volatility_20,0.10687443168711164
volatility_regime,0.0765786946631011
hl_ratio,0.07565543071161049
atr_14,0.07508047771465086
rsi_divergence,0.06479622788959115
bb_width,0.06385769949544214
adx_slope,0.06267620287206886
atr_pct,0.0593307626178544
stoch_d,0.05930950523792983
price_vs_ema200,0.05702966957934055
volatility_10,0.05457117805251662
macd_signal,0.05408357550912833
dow_sin,0.05093943766510093
macd_hist,0.048932338649722996
adx_14,0.04771561663986583
hour_sin,0.045779951399414084
price_vs_ema50,0.04566264954347016
volume_ratio,0.04503861249419774
hour_cos,0.044381419974172796
return_1,0.043039464624620605
return_10,0.04286314848720708
rsi_14,0.04090726351557718
cci_20,0.04047662683855207
macd,0.03773395837379309
return_20,0.036976455901594846
price_vs_ema20,0.034110222561749746
momentum_diff,0.033510173062347444
directional_efficiency,0.02975537349726003
return_5,0.029460333832736486
dow_cos,0.02922370692688626
bb_pct,0.027748181036812057
williams_r,0.027604097980065995
ema_cross,0.0258373263000791
swing_dist_low,0.023618072630071985
swing_dist_high,0.01858040694001843
metal_session,0.010080231669302673
stoch_k,0.008304053172623654
trend_alignment,0.007763142906677098
is_london,0.005669813332403095
is_overlap,0.0032034285199824177
is_ny,0.0024567384537092477
