,importance
price_vs_ema200,0.0889446864307199
volatility_20,0.07870226885583737
dow_cos,0.07635984257759082
dow_sin,0.05770889895454961
hour_cos,0.055914323066722046
atr_14,0.055597285462047126
macd_signal,0.054265879458702135
bb_width,0.05287615143825666
hour_sin,0.05193307701459845
volatility_10,0.0508488737877153
adx_14,0.04776164493154094
macd,0.04564830957101565
return_20,0.04170027742195666
adx_slope,0.041338393668599885
atr_pct,0.040636778415685144
macd_hist,0.039230318809736105
volatility_regime,0.037817682545888055
volume_ratio,0.03753313898894812
price_vs_ema50,0.036421676687238856
directional_efficiency,0.03493233893859593
momentum_diff,0.03355296416108785
metal_session,0.031471708147856055
swing_dist_low,0.030826813960481855
stoch_d,0.030481887275283302
rsi_divergence,0.02841498738065071
swing_dist_high,0.02754406776064927
is_london,0.02726238872553458
bb_pct,0.026792914836819375
return_10,0.025968100205422347
return_5,0.025429689198117597
cci_20,0.025343148516662528
is_ny,0.024380045488139154
rsi_14,0.024240342537547945
price_vs_ema20,0.022662841980733803
return_3,0.02046272829261717
williams_r,0.020378979020164494
trend_alignment,0.019515111907602762
return_1,0.019184647628381037
stoch_k,0.01916105362592115
hl_ratio,0.018725521507957543
