,importance
cci_20,0.07449622381334671
macd_signal,0.07098015008905756
volatility_10,0.06166706712703709
adx_slope,0.06132091723187827
bb_width,0.059294020782214005
volume_ratio,0.058997436425719266
atr_14,0.05596855174224458
macd,0.05540948775177658
volatility_20,0.05283102426625116
volatility_regime,0.050190283961939364
atr_pct,0.048491239527563984
hl_ratio,0.0480166288632579
price_vs_ema200,0.04753592079252371
directional_efficiency,0.04627354547883324
stoch_d,0.045419908995727426
stoch_k,0.04526748971193416
return_10,0.04498180161512473
adx_14,0.04387600652695232
macd_hist,0.04338530609067171
hour_cos,0.04204332448254779
momentum_diff,0.039546394312400625
hour_sin,0.03888650568642875
rsi_divergence,0.038831904361104175
rsi_14,0.038443400929193836
return_20,0.03752785284165552
candle_body_pct,0.03207527757555496
price_vs_ema50,0.03087976114108002
return_3,0.03031278314708547
dow_sin,0.028170065219197366
bb_pct,0.027691952403738944
price_vs_ema20,0.02694911745198071
return_1,0.025952657455517843
dow_cos,0.022602739726027398
ema_cross,0.01936023237651071
swing_dist_low,0.010886083593741982
trend_alignment,0.007467954397778959
metal_session,0.007147498375568551
williams_r,0.006858710562414266
is_overlap,0.004327011472214995
is_ny,0.0011740496472185623
